strategy,window_start,window_end,profitable,number_of_trades,total_deployed,gross_profit,net_profit,return_on_deployed_capital,average_net_profit_per_trade,median_net_profit_per_trade,win_rate,best_trade,worst_trade,profit_factor,max_drawdown
buy_after_first_green_after_red,2014-05-01,2015-04-30,False,61,6100.0,-2.401310689051771,-3.6213106890517737,-0.0005936574900084875,-0.05936574900084875,0.051787508973431,0.5245901639344263,2.5250031036623244,-2.068346055979644,0.8411827264148687,-8.12821204770592
buy_after_first_green_after_red,2014-06-01,2015-05-31,False,60,6000.0,-2.0484144699715707,-3.2484144699715722,-0.0005414024116619287,-0.05414024116619287,0.05716733939238107,0.5333333333333333,2.5250031036623244,-2.068346055979644,0.8534489235493039,-8.12821204770592
buy_after_first_green_after_red,2014-07-01,2015-06-30,False,64,6400.0,-3.9881349453539596,-5.26813494535396,-0.0008231460852115563,-0.08231460852115563,0.010659798871723873,0.5,2.5250031036623244,-2.068346055979644,0.7818749096629716,-7.99298793637055
buy_after_first_green_after_red,2014-08-01,2015-07-31,False,61,6100.0,-0.9775008140493702,-2.1975008140493717,-0.00036024603509006095,-0.036024603509006096,0.051787508973431,0.5245901639344263,2.5250031036623244,-1.8808208004078475,0.9005684905832539,-6.130706412123881
buy_after_first_green_after_red,2014-09-01,2015-08-31,False,60,6000.0,-2.877205797538784,-4.0772057975387845,-0.0006795342995897974,-0.06795342995897974,-0.025958765343822007,0.48333333333333334,2.5250031036623244,-1.8808208004078475,0.8227965693395513,-6.13070641212388
buy_after_first_green_after_red,2014-10-01,2015-09-30,False,61,6100.0,-5.4231990479994945,-6.6431990479994925,-0.001089049024262212,-0.10890490242622118,-0.03191753068764401,0.47540983606557374,2.5250031036623244,-2.2909475332811313,0.746365177765684,-9.464868207577611
buy_after_first_green_after_red,2014-11-01,2015-10-31,False,59,5900.0,-2.1333882475547914,-3.313388247554791,-0.0005615912283991172,-0.056159122839911715,0.051787508973431,0.5254237288135594,2.5250031036623244,-2.2909475332811313,0.8502715759465374,-9.46486820757761
buy_after_first_green_after_red,2014-12-01,2015-11-30,False,59,5900.0,-2.9058997488010894,-4.085899748801088,-0.0006925253811527268,-0.06925253811527268,0.041042607740202644,0.5084745762711864,2.5250031036623244,-2.2909475332811313,0.8184892005280167,-9.464868207577611
buy_after_first_green_after_red,2015-01-01,2015-12-31,False,60,6000.0,-5.780964397049704,-6.980964397049705,-0.0011634940661749509,-0.11634940661749509,-0.025958765343822007,0.48333333333333334,1.6874981440237558,-2.2909475332811313,0.7140999860173524,-10.021996351812941
buy_after_first_green_after_red,2015-02-01,2016-01-31,False,63,6300.0,-4.118562386567203,-5.378562386567205,-0.0008537400613598739,-0.08537400613598739,-0.03191753068764401,0.47619047619047616,2.707877578176985,-2.2909475332811313,0.7966339537239367,-11.01532433053811
buy_after_first_green_after_red,2015-03-01,2016-02-29,False,63,6300.0,-4.045812776890281,-5.30581277689028,-0.0008421925042682983,-0.08421925042682983,-0.02,0.47619047619047616,2.707877578176985,-2.2909475332811313,0.8038862180318244,-10.716122944030106
buy_after_first_green_after_red,2015-04-01,2016-03-31,False,62,6200.0,0.346467163544816,-0.8935328364551816,-0.0001441181994282551,-0.01441181994282551,0.04641505835681682,0.5161290322580645,2.707877578176985,-2.2909475332811313,0.9608648983324057,-10.716122944030106
buy_after_first_green_after_red,2015-05-01,2016-04-30,False,64,6400.0,-1.994953206171047,-3.274953206171047,-0.0005117114384642261,-0.05117114384642261,-0.025958765343822007,0.484375,2.707877578176985,-2.2909475332811313,0.8666809498193933,-10.716122944030108
buy_after_first_green_after_red,2015-06-01,2016-05-31,False,64,6400.0,-4.93580815440935,-6.21580815440935,-0.000971220024126461,-0.0971220024126461,-0.06378786964412407,0.453125,2.707877578176985,-2.2909475332811313,0.7659698638815747,-10.314260482968034
buy_after_first_green_after_red,2015-07-01,2016-06-30,False,63,6300.0,-5.345890377597419,-6.605890377597419,-0.0010485540281900665,-0.10485540281900664,0.016096739261215482,0.5079365079365079,2.707877578176985,-4.61647879002718,0.773539705908702,-8.206971243308157
buy_after_first_green_after_red,2015-08-01,2016-07-31,False,65,6500.0,-5.951925028564644,-7.251925028564643,-0.0011156807736253298,-0.11156807736253296,-0.02,0.47692307692307695,2.707877578176985,-4.61647879002718,0.7422060491543523,-7.494516611025444
buy_after_first_green_after_red,2015-09-01,2016-08-31,False,68,6800.0,-5.81905563536498,-7.179055635364975,-0.0010557434757889669,-0.1055743475788967,-0.03238083446824523,0.47058823529411764,2.707877578176985,-4.61647879002718,0.7418834559049177,-7.3001892077210035
buy_after_first_green_after_red,2015-10-01,2016-09-30,False,68,6800.0,-2.284731672914674,-3.644731672914673,-0.0005359899518992166,-0.053598995189921665,-0.02,0.4852941176470588,2.707877578176985,-4.61647879002718,0.8487237888203844,-8.212921282486683
buy_after_first_green_after_red,2015-11-01,2016-10-31,False,68,6800.0,-5.2708044808417185,-6.630804480841716,-0.0009751183060061347,-0.09751183060061347,-0.08034222036106485,0.4411764705882353,2.707877578176985,-4.61647879002718,0.7334411524253852,-8.212921282486679
buy_after_first_green_after_red,2015-12-01,2016-11-30,False,70,7000.0,-5.972148661959089,-7.372148661959087,-0.0010531640945655838,-0.10531640945655839,-0.1010233045730191,0.4142857142857143,2.707877578176985,-4.61647879002718,0.7113785630373728,-8.212921282486679
buy_after_first_green_after_red,2016-01-01,2016-12-31,False,68,6800.0,-3.383318223410315,-4.743318223410315,-0.0006975467975603404,-0.06975467975603404,-0.08034222036106485,0.4411764705882353,2.707877578176985,-4.61647879002718,0.7839876409523601,-8.21292128248668
buy_after_first_green_after_red,2016-02-01,2017-01-31,False,68,6800.0,-4.177838872288707,-5.537838872288708,-0.0008143880694542218,-0.08143880694542217,-0.08578310942819688,0.4264705882352941,1.8781880931837835,-4.61647879002718,0.7016892304049954,-8.493659274488397
buy_after_first_green_after_red,2016-03-01,2017-02-28,False,67,6700.0,-3.8925603337265358,-5.232560333726534,-0.0007809791542875424,-0.07809791542875423,-0.08281407035175768,0.44776119402985076,1.8781880931837835,-4.61647879002718,0.702581857264256,-8.4936592744884
buy_after_first_green_after_red,2016-04-01,2017-03-31,False,67,6700.0,-5.5018426018792805,-6.8418426018792795,-0.0010211705375939224,-0.10211705375939223,-0.11329446064140213,0.43283582089552236,1.8781880931837835,-4.61647879002718,0.6225913551472908,-8.158736793868247
buy_after_first_green_after_red,2016-05-01,2017-04-30,False,67,6700.0,-6.044291792859392,-7.384291792859389,-0.0011021331034118491,-0.11021331034118491,-0.1473750132682272,0.40298507462686567,1.8781880931837835,-4.61647879002718,0.5784833565572621,-7.079191396699416
buy_after_first_green_after_red,2016-06-01,2017-05-31,False,67,6700.0,-3.5872114073404946,-4.927211407340494,-0.0007354046876627602,-0.07354046876627603,-0.11606147934678733,0.40298507462686567,1.8781880931837835,-4.61647879002718,0.6850170089447596,-6.727551598147022
