Date,Open,High,Low,Close,green,red,flat,intraday_return,sma_200,signal,strategy,trade_date,gross_profit,cost,net_profit,cumulative_net_profit
2014-05-06,1877.5,1881.5,1861.75,1864.25,False,True,False,-0.0070572569906790505,,True,buy_after_first_green_after_two_reds,2014-05-06,-0.705725699067905,0.02,-0.7257256990679051,-0.7257256990679051
2014-05-19,1876.25,1883.0,1865.75,1882.25,True,False,False,0.0031978680879414245,,True,buy_after_first_green_after_two_reds,2014-05-19,0.31978680879414245,0.02,0.29978680879414243,-0.42593889027376264
2014-06-16,1934.25,1940.75,1926.5,1936.5,True,False,False,0.0011632415664986073,,True,buy_after_first_green_after_two_reds,2014-06-16,0.11632415664986073,0.02,0.09632415664986073,-0.3296147336239019
2014-07-10,1967.5,1968.25,1945.25,1957.75,False,True,False,-0.004955527318932673,,True,buy_after_first_green_after_two_reds,2014-07-10,-0.4955527318932673,0.02,-0.5155527318932673,-0.8451674655171693
2014-07-29,1972.5,1979.5,1962.0,1963.0,False,True,False,-0.004816223067173664,,True,buy_after_first_green_after_two_reds,2014-07-29,-0.4816223067173664,0.02,-0.5016223067173664,-1.3467897722345357
2014-08-05,1931.0,1933.25,1907.5,1913.0,False,True,False,-0.009321595028482621,,True,buy_after_first_green_after_two_reds,2014-08-05,-0.9321595028482621,0.02,-0.9521595028482621,-2.298949275082798
2014-09-08,2006.5,2006.75,1994.0,2000.5,False,True,False,-0.0029902815848492637,,True,buy_after_first_green_after_two_reds,2014-09-08,-0.29902815848492637,0.02,-0.3190281584849264,-2.617977433567724
2014-09-11,1994.5,1999.5,1985.0,1997.0,True,False,False,0.0012534469791927183,,True,buy_after_first_green_after_two_reds,2014-09-11,0.12534469791927183,0.02,0.10534469791927183,-2.5126327356484524
2014-09-25,1990.75,1991.5,1957.75,1961.5,False,True,False,-0.01469295491648881,,True,buy_after_first_green_after_two_reds,2014-09-25,-1.469295491648881,0.02,-1.489295491648881,-4.001928227297333
2014-10-06,1961.0,1971.0,1950.5,1956.0,False,True,False,-0.0025497195308515908,,True,buy_after_first_green_after_two_reds,2014-10-06,-0.2549719530851591,0.02,-0.2749719530851591,-4.276900180382492
2014-10-09,1961.5,1968.5,1915.25,1925.0,False,True,False,-0.018608208004078475,,True,buy_after_first_green_after_two_reds,2014-10-09,-1.8608208004078475,0.02,-1.8808208004078475,-6.15772098079034
2014-10-15,1878.25,1883.25,1813.0,1846.75,False,True,False,-0.016770930387328575,,True,buy_after_first_green_after_two_reds,2014-10-15,-1.6770930387328575,0.02,-1.6970930387328576,-7.8548140195231975
2014-11-06,2018.5,2029.25,2010.75,2028.0,True,False,False,0.004706465196928411,,True,buy_after_first_green_after_two_reds,2014-11-06,0.4706465196928411,0.02,0.4506465196928411,-7.404167499830356
2014-11-17,2038.5,2040.5,2025.25,2039.75,True,False,False,0.0006131959774344775,,True,buy_after_first_green_after_two_reds,2014-11-17,0.06131959774344775,0.02,0.04131959774344775,-7.362847902086908
2014-12-03,2066.5,2076.0,2063.25,2072.5,True,False,False,0.00290345995644814,,True,buy_after_first_green_after_two_reds,2014-12-03,0.290345995644814,0.02,0.270345995644814,-7.092501906442093
2014-12-12,2029.5,2032.25,1996.5,1997.25,False,True,False,-0.015890613451589042,,True,buy_after_first_green_after_two_reds,2014-12-12,-1.5890613451589042,0.02,-1.6090613451589042,-8.701563251600998
2014-12-18,2013.75,2068.0,2010.75,2065.0,True,False,False,0.025450031036623244,,True,buy_after_first_green_after_two_reds,2014-12-18,2.5450031036623244,0.02,2.5250031036623244,-6.176560147938673
2015-01-08,2020.5,2058.5,2020.25,2055.0,True,False,False,0.017074981440237558,,True,buy_after_first_green_after_two_reds,2015-01-08,1.7074981440237558,0.02,1.6874981440237558,-4.489062003914917
2015-01-20,2013.5,2026.5,1997.5,2016.75,True,False,False,0.0016141047926496732,,True,buy_after_first_green_after_two_reds,2015-01-20,0.16141047926496732,0.02,0.14141047926496733,-4.347651524649949
2015-01-30,2019.25,2020.5,1986.25,1988.5,False,True,False,-0.015228426395939132,,True,buy_after_first_green_after_two_reds,2015-01-30,-1.5228426395939132,0.02,-1.5428426395939132,-5.890494164243862
2015-02-11,2062.75,2079.5,2053.25,2065.75,True,False,False,0.0014543691673736259,1977.6025,True,buy_after_first_green_after_two_reds,2015-02-11,0.1454369167373626,0.02,0.1254369167373626,-5.765057247506499
2015-03-03,2114.0,2114.5,2095.5,2104.75,False,True,False,-0.004375591296121084,1992.2625,True,buy_after_first_green_after_two_reds,2015-03-03,-0.4375591296121084,0.02,-0.45755912961210843,-6.222616377118608
2015-03-06,2099.5,2103.5,2065.5,2070.75,False,True,False,-0.013693736603953344,1995.4725,True,buy_after_first_green_after_two_reds,2015-03-06,-1.3693736603953344,0.02,-1.3893736603953344,-7.611990037513943
2015-03-13,2064.25,2068.75,2040.0,2049.75,False,True,False,-0.007024342981712506,1999.385,True,buy_after_first_green_after_two_reds,2015-03-13,-0.7024342981712506,0.02,-0.7224342981712506,-8.334424335685194
2015-03-30,2052.75,2081.75,2047.25,2075.5,True,False,False,0.011082693947144007,2007.29125,True,buy_after_first_green_after_two_reds,2015-03-30,1.1082693947144007,0.02,1.0882693947144007,-7.2461549409707935
2015-04-06,2039.5,2080.0,2038.75,2073.25,True,False,False,0.016548173571953928,2009.67,True,buy_after_first_green_after_two_reds,2015-04-06,1.6548173571953928,0.02,1.6348173571953928,-5.6113375837754
2015-04-21,2089.5,2105.25,2087.25,2091.0,True,False,False,0.00071787508973431,2016.79,True,buy_after_first_green_after_two_reds,2015-04-21,0.071787508973431,0.02,0.051787508973431,-5.559550074801969
2015-05-04,2101.75,2115.0,2098.0,2109.25,True,False,False,0.0035684548590459997,2022.98125,True,buy_after_first_green_after_two_reds,2015-05-04,0.35684548590459997,0.02,0.33684548590459995,-5.222704588897368
2015-05-08,2085.25,2113.5,2084.0,2108.5,True,False,False,0.011149742237141824,2025.26875,True,buy_after_first_green_after_two_reds,2015-05-08,1.1149742237141824,0.02,1.0949742237141824,-4.1277303651831865
2015-05-15,2117.25,2122.75,2113.25,2119.0,True,False,False,0.0008265438658636715,2028.62125,True,buy_after_first_green_after_two_reds,2015-05-15,0.08265438658636715,0.02,0.06265438658636714,-4.065075978596819
2015-05-22,2129.25,2131.0,2122.75,2124.5,False,True,False,-0.0022308324527415824,2033.73375,True,buy_after_first_green_after_two_reds,2015-05-22,-0.22308324527415824,0.02,-0.24308324527415823,-4.308159223870977
2015-05-28,2120.0,2122.75,2110.5,2121.75,True,False,False,0.0008254716981133114,2036.665,True,buy_after_first_green_after_two_reds,2015-05-28,0.08254716981133114,0.02,0.06254716981133114,-4.245612054059645
2015-06-17,2097.75,2107.0,2087.0,2097.5,False,True,False,-0.00011917530687644007,2045.1675,True,buy_after_first_green_after_two_reds,2015-06-17,-0.011917530687644007,0.02,-0.03191753068764401,-4.277529584747289
2015-06-29,2064.0,2083.25,2047.25,2050.5,False,True,False,-0.006540697674418561,2049.2975,True,buy_after_first_green_after_two_reds,2015-06-29,-0.6540697674418561,0.02,-0.6740697674418561,-4.951599352189145
2015-07-08,2073.0,2073.25,2036.25,2039.25,False,True,False,-0.01628075253256156,2051.14875,True,buy_after_first_green_after_two_reds,2015-07-08,-1.628075253256156,0.02,-1.648075253256156,-6.599674605445301
2015-07-29,2088.0,2104.25,2084.5,2101.5,True,False,False,0.006465517241379226,2061.61875,True,buy_after_first_green_after_two_reds,2015-07-29,0.6465517241379226,0.02,0.6265517241379226,-5.973122881307379
2015-08-06,2094.0,2099.25,2070.0,2079.5,False,True,False,-0.00692454632282713,2068.27375,True,buy_after_first_green_after_two_reds,2015-08-06,-0.692454632282713,0.02,-0.712454632282713,-6.685577513590092
2015-08-11,2100.75,2101.75,2070.75,2079.75,False,True,False,-0.009996429846483412,2070.49375,True,buy_after_first_green_after_two_reds,2015-08-11,-0.9996429846483412,0.02,-1.0196429846483412,-7.7052204982384325
2015-09-03,1947.5,1973.5,1942.0,1946.0,False,True,False,-0.0007702182284980985,2069.39375,True,buy_after_first_green_after_two_reds,2015-09-03,-0.07702182284980985,0.02,-0.09702182284980986,-7.802242321088242
2015-09-09,1966.5,1992.0,1935.5,1942.75,False,True,False,-0.012077294685990392,2067.80625,True,buy_after_first_green_after_two_reds,2015-09-09,-1.2077294685990392,0.02,-1.2277294685990392,-9.02997178968728
2015-09-22,1964.25,1965.0,1917.75,1932.0,False,True,False,-0.016418480336006125,2063.24625,True,buy_after_first_green_after_two_reds,2015-09-22,-1.6418480336006125,0.02,-1.6618480336006125,-10.691819823287894
2015-09-28,1915.5,1929.75,1868.75,1872.0,False,True,False,-0.022709475332811313,2060.34125,True,buy_after_first_green_after_two_reds,2015-09-28,-2.2709475332811313,0.02,-2.2909475332811313,-12.982767356569024
2015-10-01,1902.5,1929.5,1890.25,1916.75,True,False,False,0.007490144546649091,2058.75,True,buy_after_first_green_after_two_reds,2015-10-01,0.7490144546649091,0.02,0.7290144546649091,-12.253752901904114
2015-10-16,2018.25,2026.5,2012.25,2025.5,True,False,False,0.003592220983525296,2055.12875,True,buy_after_first_green_after_two_reds,2015-10-16,0.3592220983525296,0.02,0.3392220983525296,-11.914530803551585
2015-10-23,2054.25,2074.5,2053.25,2066.0,True,False,False,0.005719849093342999,2055.35,True,buy_after_first_green_after_two_reds,2015-10-23,0.5719849093342999,0.02,0.5519849093342999,-11.362545894217286
2015-10-29,2081.0,2086.5,2073.25,2083.0,True,False,False,0.0009610764055743015,2056.395,True,buy_after_first_green_after_two_reds,2015-10-29,0.09610764055743015,0.02,0.07610764055743015,-11.286438253659856
2015-11-11,2076.5,2087.25,2067.75,2069.0,False,True,False,-0.003611846857693224,2059.165,True,buy_after_first_green_after_two_reds,2015-11-11,-0.3611846857693224,0.02,-0.3811846857693224,-11.66762293942918
2015-11-17,2047.75,2063.5,2041.5,2049.0,True,False,False,0.0006104260774020265,2059.615,True,buy_after_first_green_after_two_reds,2015-11-17,0.06104260774020265,0.02,0.041042607740202644,-11.626580331688977
2015-12-07,2092.25,2095.5,2064.5,2081.0,False,True,False,-0.005376986497789504,2060.06625,True,buy_after_first_green_after_two_reds,2015-12-07,-0.5376986497789504,0.02,-0.5576986497789505,-12.184278981467928
2015-12-11,2050.75,2056.25,2005.0,2009.75,False,True,False,-0.019992685602828186,2058.68125,True,buy_after_first_green_after_two_reds,2015-12-11,-1.9992685602828186,0.02,-2.0192685602828186,-14.203547541750748
2015-12-22,2017.0,2036.5,2007.25,2036.0,True,False,False,0.009419930589985137,2056.9225,True,buy_after_first_green_after_two_reds,2015-12-22,0.9419930589985137,0.02,0.9219930589985137,-13.281554482752234
2015-12-30,2072.0,2075.0,2053.5,2054.5,False,True,False,-0.008445945945945943,2056.8025,True,buy_after_first_green_after_two_reds,2015-12-30,-0.8445945945945943,0.02,-0.8645945945945943,-14.146149077346829
2016-01-06,2010.75,2013.25,1970.5,1986.0,False,True,False,-0.012308839985080144,2055.07875,True,buy_after_first_green_after_two_reds,2016-01-06,-1.2308839985080144,0.02,-1.2508839985080145,-15.397033075854843
2016-01-12,1913.5,1940.25,1899.0,1925.0,True,False,False,0.006009929448654194,2052.29875,True,buy_after_first_green_after_two_reds,2016-01-12,0.6009929448654194,0.02,0.5809929448654194,-14.816040130989423
2016-02-16,1865.25,1892.75,1865.0,1888.75,True,False,False,0.012598847339498676,2028.5675,True,buy_after_first_green_after_two_reds,2016-02-16,1.2598847339498676,0.02,1.2398847339498675,-13.576155397039555
2016-02-23,1934.0,1938.0,1913.75,1916.0,False,True,False,-0.009307135470527417,2024.33125,True,buy_after_first_green_after_two_reds,2016-02-23,-0.9307135470527417,0.02,-0.9507135470527417,-14.526868944092296
2016-03-02,1976.25,1984.75,1966.25,1983.5,True,False,False,0.003668564199873492,2019.7425,True,buy_after_first_green_after_two_reds,2016-03-02,0.3668564199873492,0.02,0.3468564199873492,-14.180012524104948
2016-03-17,2026.75,2046.75,2015.75,2039.75,True,False,False,0.006414209942025462,2013.58875,True,buy_after_first_green_after_two_reds,2016-03-17,0.6414209942025462,0.02,0.6214209942025462,-13.558591529902401
2016-03-28,2030.25,2039.75,2022.0,2028.0,False,True,False,-0.0011082379017361976,2011.81875,True,buy_after_first_green_after_two_reds,2016-03-28,-0.11082379017361976,0.02,-0.13082379017361975,-13.689415320076021
2016-04-07,2059.75,2062.0,2026.0,2035.0,False,True,False,-0.012016021361815787,2009.695,True,buy_after_first_green_after_two_reds,2016-04-07,-1.2016021361815787,0.02,-1.2216021361815788,-14.9110174562576
2016-05-03,2075.5,2076.25,2048.0,2057.0,False,True,False,-0.008913514815707013,2008.97625,True,buy_after_first_green_after_two_reds,2016-05-03,-0.8913514815707013,0.02,-0.9113514815707013,-15.822368937828301
2016-05-09,2053.0,2059.75,2048.25,2054.25,True,False,False,0.0006088650754991765,2007.75125,True,buy_after_first_green_after_two_reds,2016-05-09,0.060886507549917646,0.02,0.04088650754991764,-15.781482430278384
2016-05-17,2062.0,2069.5,2036.75,2043.5,False,True,False,-0.008971871968962208,2006.80625,True,buy_after_first_green_after_two_reds,2016-05-17,-0.8971871968962208,0.02,-0.9171871968962209,-16.698669627174606
2016-05-23,2053.25,2056.0,2043.5,2045.25,False,True,False,-0.0038962620236210332,2005.9475,True,buy_after_first_green_after_two_reds,2016-05-23,-0.3896262023621033,0.02,-0.40962620236210334,-17.108295829536708
2016-06-17,2077.75,2083.0,2073.75,2078.5,True,False,False,0.0003609673926121548,2012.7325,True,buy_after_first_green_after_two_reds,2016-06-17,0.03609673926121548,0.02,0.016096739261215482,-17.092199090275493
2016-06-29,2028.25,2074.75,2022.75,2066.75,True,False,False,0.018981880931837836,2016.9775,True,buy_after_first_green_after_two_reds,2016-06-29,1.8981880931837836,0.02,1.8781880931837835,-15.214010997091709
2016-08-04,2156.75,2164.25,2154.0,2159.25,True,False,False,0.00115915150110113,2039.29875,True,buy_after_first_green_after_two_reds,2016-08-04,0.115915150110113,0.02,0.09591515011011299,-15.118095846981596
2016-08-24,2185.75,2187.75,2168.75,2175.0,False,True,False,-0.004918220290518138,2046.90375,True,buy_after_first_green_after_two_reds,2016-08-24,-0.4918220290518138,0.02,-0.5118220290518138,-15.62991787603341
2016-08-30,2180.0,2181.5,2168.5,2175.25,False,True,False,-0.0021788990825688526,2049.08375,True,buy_after_first_green_after_two_reds,2016-08-30,-0.21788990825688526,0.02,-0.23788990825688525,-15.867807784290296
