Date,Open,High,Low,Close,green,red,flat,intraday_return,sma_200,signal,strategy,trade_date,gross_profit,cost,net_profit,cumulative_net_profit
2014-04-28,1861.75,1871.75,1844.0,1866.0,True,False,False,0.0022827984423257064,,True,buy_every_session,2014-04-28,0.22827984423257064,0.02,0.20827984423257065,0.20827984423257065
2014-04-29,1866.0,1875.25,1865.0,1871.75,True,False,False,0.003081457663451248,,True,buy_every_session,2014-04-29,0.3081457663451248,0.02,0.2881457663451248,0.4964256105776954
2014-04-30,1870.5,1880.25,1866.25,1878.0,True,False,False,0.00400962309542896,,True,buy_every_session,2014-04-30,0.400962309542896,0.02,0.380962309542896,0.8773879201205914
2014-05-01,1879.5,1882.75,1871.5,1877.75,False,True,False,-0.0009310986964617962,,True,buy_every_session,2014-05-01,-0.09310986964617962,0.02,-0.11310986964617963,0.7642780504744118
2014-05-02,1878.75,1886.0,1872.0,1874.5,False,True,False,-0.0022621423819028097,,True,buy_every_session,2014-05-02,-0.22621423819028097,0.02,-0.24621423819028096,0.5180638122841308
2014-05-05,1875.5,1880.0,1860.5,1875.75,True,False,False,0.00013329778725679198,,True,buy_every_session,2014-05-05,0.013329778725679198,0.02,-0.006670221274320803,0.51139359100981
2014-05-06,1877.5,1881.5,1861.75,1864.25,False,True,False,-0.0070572569906790505,,True,buy_every_session,2014-05-06,-0.705725699067905,0.02,-0.7257256990679051,-0.2143321080580951
2014-05-07,1864.0,1875.75,1854.5,1874.25,True,False,False,0.005498927038626533,,True,buy_every_session,2014-05-07,0.5498927038626533,0.02,0.5298927038626533,0.3155605958045582
2014-05-08,1874.75,1884.75,1865.0,1872.25,False,True,False,-0.001333511134817944,,True,buy_every_session,2014-05-08,-0.1333511134817944,0.02,-0.1533511134817944,0.1622094823227638
2014-05-09,1870.25,1875.0,1862.5,1873.5,True,False,False,0.0017377355968453134,,True,buy_every_session,2014-05-09,0.17377355968453134,0.02,0.15377355968453135,0.31598304200729516
2014-05-12,1874.0,1894.0,1874.0,1892.75,True,False,False,0.010005336179295554,,True,buy_every_session,2014-05-12,1.0005336179295554,0.02,0.9805336179295554,1.2965166599368505
2014-05-13,1893.5,1898.5,1892.0,1894.25,True,False,False,0.0003960918933192392,,True,buy_every_session,2014-05-13,0.03960918933192392,0.02,0.01960918933192392,1.3161258492687744
2014-05-14,1894.75,1897.25,1882.25,1885.25,False,True,False,-0.005013854070457846,,True,buy_every_session,2014-05-14,-0.5013854070457846,0.02,-0.5213854070457846,0.7947404422229898
2014-05-15,1885.75,1888.5,1859.0,1867.25,False,True,False,-0.009810420257192143,,True,buy_every_session,2014-05-15,-0.9810420257192143,0.02,-1.0010420257192143,-0.20630158349622452
2014-05-16,1867.0,1875.75,1861.25,1874.75,True,False,False,0.004151044456347064,,True,buy_every_session,2014-05-16,0.4151044456347064,0.02,0.39510444563470637,0.18880286213848185
2014-05-19,1876.25,1883.0,1865.75,1882.25,True,False,False,0.0031978680879414245,,True,buy_every_session,2014-05-19,0.31978680879414245,0.02,0.29978680879414243,0.4885896709326243
2014-05-20,1881.5,1884.5,1864.75,1868.0,False,True,False,-0.00717512622907257,,True,buy_every_session,2014-05-20,-0.717512622907257,0.02,-0.737512622907257,-0.24892295197463277
2014-05-21,1868.5,1886.5,1866.5,1885.0,True,False,False,0.00883061279100894,,True,buy_every_session,2014-05-21,0.883061279100894,0.02,0.863061279100894,0.6141383271262613
2014-05-22,1883.75,1894.0,1882.75,1890.25,True,False,False,0.003450564034505721,,True,buy_every_session,2014-05-22,0.3450564034505721,0.02,0.3250564034505721,0.9391947305768333
2014-05-23,1890.25,1899.25,1889.5,1897.0,True,False,False,0.003570956222721966,,True,buy_every_session,2014-05-23,0.3570956222721966,0.02,0.3370956222721966,1.27629035284903
2014-05-27,1898.0,1910.0,1897.0,1909.25,True,False,False,0.005927291886195896,,True,buy_every_session,2014-05-27,0.5927291886195896,0.02,0.5727291886195895,1.8490195414686195
2014-05-28,1909.75,1914.0,1904.5,1909.0,False,True,False,-0.0003927215604137002,,True,buy_every_session,2014-05-28,-0.03927215604137002,0.02,-0.059272156041370025,1.7897473854272494
2014-05-29,1909.75,1918.0,1907.25,1918.0,True,False,False,0.004319937164550369,,True,buy_every_session,2014-05-29,0.4319937164550369,0.02,0.4119937164550369,2.2017411018822863
2014-05-30,1917.0,1922.25,1914.25,1921.5,True,False,False,0.0023474178403755097,,True,buy_every_session,2014-05-30,0.23474178403755097,0.02,0.21474178403755098,2.4164828859198373
2014-06-02,1921.25,1924.25,1913.75,1921.75,True,False,False,0.0002602472348731677,,True,buy_every_session,2014-06-02,0.02602472348731677,0.02,0.0060247234873167695,2.422507609407154
2014-06-03,1921.5,1923.5,1916.0,1922.0,True,False,False,0.0002602133749673996,,True,buy_every_session,2014-06-03,0.02602133749673996,0.02,0.00602133749673996,2.428528946903894
2014-06-04,1922.75,1927.0,1916.0,1925.75,True,False,False,0.0015602652450916743,,True,buy_every_session,2014-06-04,0.15602652450916743,0.02,0.13602652450916744,2.5645554714130614
2014-06-05,1925.5,1940.75,1921.0,1938.5,True,False,False,0.006751493118670515,,True,buy_every_session,2014-06-05,0.6751493118670515,0.02,0.6551493118670515,3.219704783280113
2014-06-06,1938.5,1949.75,1937.75,1949.25,True,False,False,0.005545524890379072,,True,buy_every_session,2014-06-06,0.5545524890379072,0.02,0.5345524890379072,3.75425727231802
2014-06-09,1949.25,1954.75,1945.75,1950.25,True,False,False,0.0005130178273695662,,True,buy_every_session,2014-06-09,0.051301782736956625,0.02,0.03130178273695662,3.7855590550549767
2014-06-10,1949.25,1951.75,1943.0,1950.5,True,False,False,0.0006412722842119578,,True,buy_every_session,2014-06-10,0.06412722842119578,0.02,0.04412722842119578,3.8296862834761725
2014-06-11,1950.75,1951.0,1938.5,1944.0,False,True,False,-0.0034602076124568004,,True,buy_every_session,2014-06-11,-0.34602076124568004,0.02,-0.36602076124568006,3.4636655222304924
2014-06-12,1943.75,1947.75,1924.75,1930.5,False,True,False,-0.006816720257234676,,True,buy_every_session,2014-06-12,-0.6816720257234676,0.02,-0.7016720257234677,2.7619934965070247
2014-06-13,1930.75,1937.0,1926.5,1935.75,True,False,False,0.0025896672277612165,,True,buy_every_session,2014-06-13,0.25896672277612165,0.02,0.23896672277612166,3.0009602192831464
2014-06-16,1934.25,1940.75,1926.5,1936.5,True,False,False,0.0011632415664986073,,True,buy_every_session,2014-06-16,0.11632415664986073,0.02,0.09632415664986073,3.097284375933007
2014-06-17,1936.5,1943.5,1931.25,1941.5,True,False,False,0.0025819777949909195,,True,buy_every_session,2014-06-17,0.25819777949909195,0.02,0.23819777949909196,3.335482155432099
2014-06-18,1941.5,1958.0,1938.0,1957.0,True,False,False,0.007983517898532133,,True,buy_every_session,2014-06-18,0.7983517898532133,0.02,0.7783517898532133,4.113833945285313
